mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,cell_type
1742,23974,13.762342135476464,699,1228,1.7567954220314734,-126.59434689020117,18725,0.0930307076101468,HFF,control,HFF_control_A2_N3_6,20,307.0,12.5262584547137,91.69286327612828,45.82330987195063,0.8661709425956318,0.0637557759202533,0.0940275650842266,0.9911745351847524,fibroblast
550,5347,9.721818181818184,391,535,1.3682864450127876,-120.5900283934118,4549,0.1209056935590239,HFF,control,HFF_control_A2_N3_3,7,99.5,-35.59614526586385,61.7252714808001,17.79380511185123,0.9575478934647808,0.0462092186230117,0.1249215317011927,0.9712474484817456,fibroblast
2516,30805,12.243640699523052,587,1100,1.8739352640545144,-115.43341125520344,20127,0.1250062105629254,HFF,control,HFF_control_A2_N3_1,22,425.75,53.74287764935804,82.12068637338085,67.3562096244008,0.5720625200565932,0.0793495480383934,0.1012364760432766,0.9898652759612204,fibroblast
490,4443,9.06734693877551,775,227,0.2929032258064516,-211.1044525077456,2717,0.180345969819654,HFF,control,HFF_control_A2_N3_5,6,93.0,-68.98884347453385,38.02480121395443,21.06106286958142,0.8325985031720259,0.0985691573926868,0.1548709408825978,0.9900407059709344,fibroblast
849,10976,12.928150765606595,609,372,0.6108374384236454,-187.7183919911008,5237,0.1621157151040672,HFF,control,HFF_control_A2_N7_3,13,167.5,-72.64370645122614,51.73856731949356,34.440018712739544,0.7462599188951573,0.085079365079365,0.1271829916476841,1.050589557017676,fibroblast
438,2439,5.568493150684931,912,391,0.4287280701754385,-157.68950045259905,2726,0.1606749816581071,HFF,control,HFF_control_A2_N7_2,8,64.5,10.124584132915793,43.31988126179751,19.013457048877346,0.8985318422883135,0.0697674418604651,0.1005064277366575,0.8332699320486378,fibroblast
1786,27520,15.408734602463603,1271,1007,0.7922895357985837,-182.51741890852625,8078,0.2210943302797722,HFF,control,HFF_control_A2_N7_9,16,349.5,-17.956713934360234,79.75895393040324,35.38138763493269,0.8962229235008459,0.1008876380168867,0.162652705061082,1.0884851538048617,fibroblast
1850,14146,7.646486486486486,1005,723,0.7194029850746269,-145.36016125826552,14255,0.1297790249035426,HFF,control,HFF_control_A2_N7_5,21,321.75,-6.754262534187608,85.11604064722374,41.123187651349,0.8755416609214864,0.0821629213483146,0.118628445017974,0.9711347083785742,fibroblast
2872,30704,10.690807799442895,1680,1020,0.6071428571428571,-176.4050904331988,19616,0.1464110929853181,HFF,control,HFF_control_A2_N7_11,24,477.5,54.92561552266103,91.5548980470376,60.702065363930735,0.7486080978442193,0.0744291169823084,0.1116632563577901,0.9636527672392906,fibroblast
466,4558,9.781115879828326,552,552,1.0,-140.247894904319,2772,0.1681096681096681,HFF,control,HFF_control_A2_N7_4,5,78.75,1.488501109751806,38.81813527930103,22.190533737381333,0.820494946129527,0.0807485260189695,0.1203208556149732,0.9850215269206428,fibroblast
4104,44502,10.84356725146199,972,1303,1.3405349794238683,-128.5659499641505,19470,0.2107858243451463,HFF,control,HFF_control_A2_N7_6,38,800.5,31.700017818090448,175.9176720297911,39.18085146318144,0.9748818480800018,0.0485445724681625,0.1509878813599283,0.9875388880629288,fibroblast
1400,16938,12.098571428571429,599,547,0.9131886477462438,-158.90986092065725,7007,0.1998001998001998,HFF,control,HFF_control_A2_N7_7,13,270.5,15.91476848853891,76.54231895540686,30.54572506487303,0.9169205660628648,0.0988669590643274,0.1573360476952159,1.0301746303859631,fibroblast
3519,61809,17.564364876385337,1510,3816,2.527152317880794,-119.23490996553126,10063,0.3496969094703369,HFF,control,HFF_control_A2_N7_10,17,797.5,-71.75217758657017,65.04032896865063,50.6984298186959,0.6264119198321547,0.261026102610261,0.3167510674213087,1.147809011208442,fibroblast
3088,53873,17.445919689119172,1651,3097,1.875832828588734,-137.1482629777878,12432,0.2483912483912484,HFF,control,HFF_control_A2_N7_12,19,713.25,-35.30917765685204,87.24163508013658,44.00538914190508,0.8634653718682285,0.1461577868852459,0.2446826758147512,1.165903118899702,fibroblast
2618,43384,16.571428571428573,1489,2182,1.465413028878442,-149.1708888630357,7921,0.3305138240121197,HFF,control,HFF_control_A2_N6_5,15,596.0,26.73515807391166,116.36621866659154,23.74865781262837,0.9789530678562948,0.0992836914875895,0.2843511450381679,1.129840417673867,fibroblast
2770,33208,11.988447653429605,1055,921,0.8729857819905213,-161.11643926269056,12854,0.2154971215185934,HFF,control,HFF_control_A2_N6_1,31,515.25,13.737581275578432,102.8390135495333,41.70443471356445,0.9140811765845972,0.109047619047619,0.1563495675921711,1.0477413920669654,fibroblast
2141,33297,15.552078468005606,824,642,0.779126213592233,-184.11725594616988,16624,0.1287897016361886,HFF,control,HFF_control_A2_N6_8,20,410.0,59.01127766725702,83.31988996704897,46.94864796510994,0.8261333367117345,0.0840336134453781,0.1403989384470507,1.0462754055635568,fibroblast
1593,35298,22.15819209039548,931,1328,1.426423200859291,-168.69678911752374,9858,0.1615946439440048,HFF,control,HFF_control_A2_N6_9,28,257.25,-20.756566562919968,83.80981193234987,38.4906623538788,0.8883008554584394,0.0676528599605522,0.1037926165019164,1.0586210202476125,fibroblast
1418,24043,16.955571227080394,1004,1190,1.1852589641434264,-163.62906356573228,5492,0.2581937363437727,HFF,control,HFF_control_A2_N6_7,14,294.25,85.01265137007681,70.61463380489641,27.602517106367525,0.9204376234458714,0.1410594439117929,0.205481843575419,1.089932073164824,fibroblast
779,17514,22.4826700898588,481,882,1.8336798336798337,-154.14483051108903,6076,0.1282093482554312,HFF,control,HFF_control_A2_N6_10,8,143.0,-12.082663819505424,73.94242074848727,17.721683369554714,0.9708547354735488,0.0827905630337241,0.1477272727272727,1.102858798235964,fibroblast
1465,29590,20.19795221843004,682,1702,2.495601173020528,-128.59967171817368,8683,0.1687204883104917,HFF,control,HFF_control_A2_N6_11,11,307.75,64.95406348956121,52.99355032104423,43.78080184997007,0.5634452567516367,0.1194681677018633,0.181724239740183,1.1492311826473516,fibroblast
1507,22250,14.764432647644329,593,761,1.2833052276559864,-150.23110100139172,6381,0.2361698793292587,HFF,control,HFF_control_A2_N6_2,8,314.25,0.2374243304950624,84.51458684018615,22.83276323099435,0.9628144373436917,0.1545935309310047,0.211154039979842,1.093454232888356,fibroblast
2496,24621,9.864182692307692,1556,2072,1.3316195372750643,-123.15463487229918,18563,0.1344610246188655,HFF,control,HFF_control_A2_N1_4,29,397.5,-69.74814004052779,120.15497570750536,47.16614172776978,0.919733130867439,0.0588300588300588,0.090644775098341,0.936564287182128,fibroblast
913,11580,12.683461117196057,557,543,0.9748653500897666,-157.79391961731005,4843,0.1885195126987404,HFF,control,HFF_control_A2_N1_3,11,175.75,29.25488164482956,47.53685319203393,32.67253875044268,0.7263645236919766,0.0985421923184749,0.1516066422255768,1.0305351500123778,fibroblast
