na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,base_name,treatment,cell_line,normrr
23.42620519,76.573795,2274.513389,1235.054112,epithelial,20.06482636,79.93517329,750.6655361,447.4876653,859.6546551,3255.99411,A549_cntrl_05_29,control,A549,0.838375038
22.44296702,77.5570331,2273.674403,1239.155853,epithelial,20.23408627,79.76591366,770.6376214,453.8429901,848.5113845,3224.137968,A549_cntrl_02_136,control,A549,0.838470182
22.76350734,77.2364927,2264.747509,1247.592876,epithelial,20.33278012,79.66721977,806.7011604,440.3126089,844.293557,3093.728355,A549_cntrl_05_62,control,A549,0.838778788
22.05066743,77.94933257,2276.405539,1291.027572,epithelial,20.93612828,79.06387154,807.0775044,443.0656445,834.4617923,3224.708973,A549_cntrl_02_37,control,A549,0.838967289
21.89628844,78.10371157,2283.028727,1223.510815,epithelial,20.34587348,79.65412649,770.5583688,450.3656985,838.7855926,3093.577308,A549_cntrl_02_224,control,A549,0.839055041
22.58428265,77.41571738,2277.204603,1180.56763,epithelial,19.80128231,80.19871739,757.558022,436.5271749,842.355085,2971.457642,A549_cntrl_04_219,control,A549,0.839128659
21.90489146,78.09510853,2223.962327,1257.853158,epithelial,20.60096042,79.39903965,791.9590188,427.2064364,811.2055175,3130.909504,A549_cntrl_02_252,control,A549,0.839163411
21.22911396,78.77088604,2183.985201,1191.135457,epithelial,20.41512202,79.58487781,780.0393884,436.4267303,799.2695282,2888.998,A549_cntrl_04_91,control,A549,0.83924907
21.57506942,78.4249306,2260.138426,1223.323037,epithelial,20.30268699,79.69731298,781.9420355,458.6001142,836.74985,3073.982803,A549_cntrl_02_119,control,A549,0.839340338
23.47257945,76.52742059,2330.666958,1212.261434,epithelial,19.67443992,80.32555989,764.2488122,466.9653163,890.0336974,3176.230254,A549_cntrl_05_206,control,A549,0.839496513
20.92617676,79.07382322,2231.819681,1216.245053,epithelial,20.74759205,79.25240804,792.2752622,445.0314172,809.7052329,3061.042265,A549_cntrl_02_17,control,A549,0.840253881
22.03152207,77.96847788,2219.694101,1244.231264,epithelial,20.4603106,79.53968952,805.9674631,440.0836003,823.4819092,3061.979356,A549_cntrl_06_70,control,A549,0.840463554
22.22852311,77.77147689,2276.569109,1236.281747,epithelial,20.42863691,79.57136315,818.1127983,439.4072748,837.8326497,2951.159375,A549_cntrl_03_114,control,A549,0.84058585
22.31409697,77.68590301,2221.439974,1196.23225,epithelial,19.34395874,80.65604132,801.8043597,460.4165766,844.369624,2908.56432,A549_cntrl_04_157,control,A549,0.840703147
21.19037801,78.80962212,2197.768071,1198.749112,epithelial,20.45263816,79.54736171,750.8976519,448.9326142,806.8746513,3064.744342,A549_cntrl_06_250,control,A549,0.840767133
21.49011302,78.50988702,2192.452916,1234.933747,epithelial,20.34605043,79.65394965,801.4095846,439.9570022,808.2401093,3042.810701,A549_cntrl_02_211,control,A549,0.841204431
22.34021116,77.65978886,2228.39257,1209.236102,epithelial,20.70427587,79.29572405,755.0855484,444.716261,830.0908482,3180.522993,A549_cntrl_05_152,control,A549,0.841738403
21.82076829,78.17923175,2281.861885,1344.796465,epithelial,22.16669724,77.83330284,727.6526706,449.0705365,833.1433581,3624.334626,A549_cntrl_01_42,control,A549,0.841754033
21.05804279,78.94195711,2325.1299,1238.155426,epithelial,21.21040311,78.78959778,763.8467681,445.7195835,825.5329331,3293.385494,A549_cntrl_05_49,control,A549,0.841880114
22.7928249,77.2071751,2206.255224,1303.145926,epithelial,19.94845063,80.05154928,811.8355163,421.2726694,820.8445537,4612.798122,A549_cntrl_03_104,control,A549,0.841954279
